reference,country,date,sentiment_scores,sentiment_entropy
r050120b_ECB,euro area,2005-01-20,"{'positive': 0.140625, 'neutral': 0.828125, 'negative': 0.03125}",0.5403395368689168
r050120a_ECB,euro area,2005-01-20,"{'positive': 0.1797752808988764, 'neutral': 0.7865168539325843, 'negative': 0.033707865168539325}",0.6116484667512864
r050125a_ECB,euro area,2005-01-25,"{'positive': 0.22556390977443608, 'neutral': 0.7518796992481203, 'negative': 0.022556390977443608}",0.6358470461565047
r050128a_ECB,euro area,2005-01-28,"{'positive': 0.19827586206896552, 'neutral': 0.75, 'negative': 0.05172413793103448}",0.6897890695142306
r050224a_ECB,euro area,2005-02-24,"{'positive': 0.391304347826087, 'neutral': 0.45652173913043476, 'negative': 0.15217391304347827}",1.0116189208867028
r050225a_ECB,euro area,2005-02-25,"{'positive': 0.1956521739130435, 'neutral': 0.7336956521739131, 'negative': 0.07065217391304347}",0.733614461301334
r050301a_ECB,euro area,2005-03-01,"{'positive': 0.21768707482993196, 'neutral': 0.7346938775510204, 'negative': 0.047619047619047616}",0.703391141456327
r050309b_ECB,euro area,2005-03-09,"{'positive': 0.1694915254237288, 'neutral': 0.711864406779661, 'negative': 0.11864406779661017}",0.7956841228679379
r050309a_ECB,euro area,2005-03-09,"{'positive': 0.2974683544303797, 'neutral': 0.5949367088607594, 'negative': 0.10759493670886076}",0.9094857060477972
r050310a_ECB,euro area,2005-03-10,"{'positive': 0.2645161290322581, 'neutral': 0.7096774193548387, 'negative': 0.025806451612903226}",0.6895252948771693
r050314a_ECB,euro area,2005-03-14,"{'positive': 0.39759036144578314, 'neutral': 0.5542168674698795, 'negative': 0.04819277108433735}",0.8399558944065766
r050318a_ECB,euro area,2005-03-18,"{'positive': 0.33587786259541985, 'neutral': 0.5419847328244275, 'negative': 0.12213740458015267}",0.9552275925280722
r050409a_ECB,euro area,2005-04-09,"{'positive': 0.2923076923076923, 'neutral': 0.6153846153846154, 'negative': 0.09230769230769231}",0.8782322609096654
r050415a_ECB,euro area,2005-04-15,"{'positive': 0.2028985507246377, 'neutral': 0.6666666666666666, 'negative': 0.13043478260869565}",0.8596234893923613
r050419b_ECB,euro area,2005-04-19,"{'positive': 0.21212121212121213, 'neutral': 0.7272727272727273, 'negative': 0.06060606060606061}",0.7304179453192748
r050419a_ECB,euro area,2005-04-19,"{'positive': 0.3953488372093023, 'neutral': 0.5348837209302325, 'negative': 0.06976744186046512}",0.8873203324068077
r050425a_ECB,euro area,2005-04-25,"{'positive': 0.22105263157894736, 'neutral': 0.7578947368421053, 'negative': 0.021052631578947368}",0.6250218797850907
r050426a_ECB,euro area,2005-04-26,"{'positive': 0.4523809523809524, 'neutral': 0.42857142857142855, 'negative': 0.11904761904761904}",0.975331003796134
r050427a_ECB,euro area,2005-04-27,"{'positive': 0.2824858757062147, 'neutral': 0.6271186440677966, 'negative': 0.0903954802259887}",0.8669948050432479
r050506a_ECB,euro area,2005-05-06,"{'positive': 0.19083969465648856, 'neutral': 0.7786259541984732, 'negative': 0.030534351145038167}",0.6174545749478674
r050509a_ECB,euro area,2005-05-09,"{'positive': 0.256, 'neutral': 0.664, 'negative': 0.08}",0.8227683751691064
r050513a_ECB,euro area,2005-05-13,"{'positive': 0.12048192771084337, 'neutral': 0.7469879518072289, 'negative': 0.13253012048192772}",0.7407077065493906
r050520a_ECB,euro area,2005-05-20,"{'positive': 0.1937984496124031, 'neutral': 0.689922480620155, 'negative': 0.11627906976744186}",0.8242985629322255
r050523a_ECB,euro area,2005-05-23,"{'positive': 0.18620689655172415, 'neutral': 0.7241379310344828, 'negative': 0.0896551724137931}",0.7629559921056999
r050523b_ECB,euro area,2005-05-23,"{'positive': 0.32558139534883723, 'neutral': 0.6162790697674418, 'negative': 0.05813953488372093}",0.8290637234007325
r050526a_ECB,euro area,2005-05-26,"{'positive': 0.24793388429752067, 'neutral': 0.7355371900826446, 'negative': 0.01652892561983471}",0.6395025066120716
r050530a_ECB,euro area,2005-05-30,"{'positive': 0.24031007751937986, 'neutral': 0.6589147286821705, 'negative': 0.10077519379844961}",0.848779057170072
r050531a_ECB,euro area,2005-05-31,"{'positive': 0.2734375, 'neutral': 0.671875, 'negative': 0.0546875}",0.7806832274093176
r050531b_ECB,euro area,2005-05-31,"{'positive': 0.07894736842105263, 'neutral': 0.8947368421052632, 'negative': 0.02631578947368421}",0.3956889307012853
r050603b_ECB,euro area,2005-06-03,"{'positive': 0.1717171717171717, 'neutral': 0.7575757575757576, 'negative': 0.0707070707070707}",0.7001945328864471
r050603a_ECB,euro area,2005-06-03,"{'positive': 0.17045454545454544, 'neutral': 0.7272727272727273, 'negative': 0.10227272727272728}",0.7663789559830004
r050608a_ECB,euro area,2005-06-08,"{'positive': 0.07207207207207207, 'neutral': 0.8423423423423423, 'negative': 0.08558558558558559}",0.544465348035313
r050609a_ECB,euro area,2005-06-09,"{'positive': 0.3684210526315789, 'neutral': 0.47368421052631576, 'negative': 0.15789473684210525}",1.0132690262497301
r050615a_ECB,euro area,2005-06-15,"{'positive': 0.2037037037037037, 'neutral': 0.7407407407407407, 'negative': 0.05555555555555555}",0.7069865830208696
r050616b_ECB,euro area,2005-06-16,"{'positive': 0.12931034482758622, 'neutral': 0.8017241379310345, 'negative': 0.06896551724137931}",0.6261071030613247
r050616a_ECB,euro area,2005-06-16,"{'positive': 0.16666666666666666, 'neutral': 0.7051282051282052, 'negative': 0.1282051282051282}",0.8083303938084848
r050617b_ECB,euro area,2005-06-17,"{'positive': 0.14285714285714285, 'neutral': 0.8571428571428571, 'negative': 0}",0.410116318288409
r050617a_ECB,euro area,2005-06-17,"{'positive': 0.25, 'neutral': 0.6904761904761905, 'negative': 0.05952380952380952}",0.7702470921045671
r050621a_ECB,euro area,2005-06-21,"{'positive': 0.22705314009661837, 'neutral': 0.6763285024154589, 'negative': 0.0966183574879227}",0.8269143395612377
r050623a_ECB,euro area,2005-06-23,"{'positive': 0.16304347826086957, 'neutral': 0.7880434782608695, 'negative': 0.04891304347826087}",0.6310371962129316
r050624a_ECB,euro area,2005-06-24,"{'positive': 0.3248407643312102, 'neutral': 0.535031847133758, 'negative': 0.14012738853503184}",0.9752607585606528
r050704a_ECB,euro area,2005-07-04,"{'positive': 0.34513274336283184, 'neutral': 0.5486725663716814, 'negative': 0.10619469026548672}",0.934643430488377
r050706a_ECB,euro area,2005-07-06,"{'positive': 0.2254335260115607, 'neutral': 0.7572254335260116, 'negative': 0.017341040462427744}",0.616727488113898
r050713a_ECB,euro area,2005-07-13,"{'positive': 0.3013698630136986, 'neutral': 0.6027397260273972, 'negative': 0.0958904109589041}",0.8914368533446427
r050714a_ECB,euro area,2005-07-14,"{'positive': 0.23255813953488372, 'neutral': 0.5116279069767442, 'negative': 0.2558139534883721}",1.0308365597725047
r050718a_ECB,euro area,2005-07-18,"{'positive': 0.25555555555555554, 'neutral': 0.7111111111111111, 'negative': 0.03333333333333333}",0.7044683240258899
r050806a_ECB,euro area,2005-08-06,"{'positive': 0.2631578947368421, 'neutral': 0.7368421052631579, 'negative': 0}",0.5763341277567499
r050827a_ECB,euro area,2005-08-27,"{'positive': 0.17535545023696683, 'neutral': 0.7393364928909952, 'negative': 0.08530805687203792}",0.7385491688272748
r050914a_ECB,euro area,2005-09-14,"{'positive': 0.32926829268292684, 'neutral': 0.6219512195121951, 'negative': 0.04878048780487805}",0.8084768070747768
r050919b_ECB,euro area,2005-09-19,"{'positive': 0.2517985611510791, 'neutral': 0.6258992805755396, 'negative': 0.1223021582733813}",0.8975256214469943
r050919c_ECB,euro area,2005-09-19,"{'positive': 0.17222222222222222, 'neutral': 0.7277777777777777, 'negative': 0.1}",0.7644504935539806
r050922a_ECB,euro area,2005-09-22,"{'positive': 0.24375, 'neutral': 0.63125, 'negative': 0.125}",0.8944193035394317
r050930a_ECB,euro area,2005-09-30,"{'positive': 0.25675675675675674, 'neutral': 0.6486486486486487, 'negative': 0.0945945945945946}",0.8529386044051382
r050930b_ECB,euro area,2005-09-30,"{'positive': 0.12, 'neutral': 0.84, 'negative': 0.04}",0.5296435025403523
r051003a_ECB,euro area,2005-10-03,"{'positive': 0.18803418803418803, 'neutral': 0.7521367521367521, 'negative': 0.05982905982905983}",0.6969607323075655
r051003b_ECB,euro area,2005-10-03,"{'positive': 0.25688073394495414, 'neutral': 0.7201834862385321, 'negative': 0.022935779816513763}",0.6721213211238448
r051010a_ECB,euro area,2005-10-10,"{'positive': 0.09803921568627451, 'neutral': 0.7777777777777778, 'negative': 0.12418300653594772}",0.6821974684449353
r051010b_ECB,euro area,2005-10-10,"{'positive': 0.23076923076923078, 'neutral': 0.6615384615384615, 'negative': 0.1076923076923077}",0.8517145155149675
r051013a_ECB,euro area,2005-10-13,"{'positive': 0.14917127071823205, 'neutral': 0.7071823204419889, 'negative': 0.143646408839779}",0.8075689696504311
r051014a_ECB,euro area,2005-10-14,"{'positive': 0.21182266009852216, 'neutral': 0.7241379310344828, 'negative': 0.06403940886699508}",0.7384791963900761
r051018a_ECB,euro area,2005-10-18,"{'positive': 0.2457627118644068, 'neutral': 0.635593220338983, 'negative': 0.11864406779661017}",0.8858541990466423
r051021a_ECB,euro area,2005-10-21,"{'positive': 0.175, 'neutral': 0.7541666666666667, 'negative': 0.07083333333333333}",0.7053276171921097
r051028b_ECB,euro area,2005-10-28,"{'positive': 0.3282442748091603, 'neutral': 0.6259541984732825, 'negative': 0.04580152671755725}",0.8001351852938212
r051028a_ECB,euro area,2005-10-28,"{'positive': 0.1917808219178082, 'neutral': 0.7465753424657534, 'negative': 0.06164383561643835}",0.7066636994897861
r051028c_ECB,euro area,2005-10-28,"{'positive': 0.2727272727272727, 'neutral': 0.7272727272727273, 'negative': 0}",0.5859526183035508
r051028d_ECB,euro area,2005-10-28,"{'positive': 0.1968503937007874, 'neutral': 0.7795275590551181, 'negative': 0.023622047244094488}",0.6025760813323412
r051104a_ECB,euro area,2005-11-04,"{'positive': 0.2524752475247525, 'neutral': 0.5396039603960396, 'negative': 0.2079207920792079}",1.0069699231446763
r051106a_ECB,euro area,2005-11-06,"{'positive': 0.08695652173913043, 'neutral': 0.8985507246376812, 'negative': 0.014492753623188406}",0.36986174100067953
r051110a_ECB,euro area,2005-11-10,"{'positive': 0.18095238095238095, 'neutral': 0.6952380952380952, 'negative': 0.12380952380952381}",0.8207010982051911
r051114a_ECB,euro area,2005-11-14,"{'positive': 0.15966386554621848, 'neutral': 0.7058823529411765, 'negative': 0.13445378151260504}",0.8085825581297039
r051115a_ECB,euro area,2005-11-15,"{'positive': 0.18716577540106952, 'neutral': 0.7486631016042781, 'negative': 0.06417112299465241}",0.7065845467214953
r051116a_ECB,euro area,2005-11-16,"{'positive': 0.23741007194244604, 'neutral': 0.6618705035971223, 'negative': 0.10071942446043165}",0.8457250034075323
r051118b_ECB,euro area,2005-11-18,"{'positive': 0.17647058823529413, 'neutral': 0.7647058823529411, 'negative': 0.058823529411764705}",0.6779087256441981
r051118a_ECB,euro area,2005-11-18,"{'positive': 0.3, 'neutral': 0.66, 'negative': 0.04}",0.7641870673072082
r051121b_ECB,euro area,2005-11-21,"{'positive': 0.44, 'neutral': 0.49333333333333335, 'negative': 0.06666666666666667}",0.8903427554243017
r051123a_ECB,euro area,2005-11-23,"{'positive': 0.30578512396694213, 'neutral': 0.6694214876033058, 'negative': 0.024793388429752067}",0.7226485525198141
r051128a_ECB,euro area,2005-11-28,"{'positive': 0.272108843537415, 'neutral': 0.7142857142857143, 'negative': 0.013605442176870748}",0.6529678977160337
r051208b_ECB,euro area,2005-12-08,"{'positive': 0.08482142857142858, 'neutral': 0.78125, 'negative': 0.13392857142857142}",0.6713879827003881
r051208a_ECB,euro area,2005-12-08,"{'positive': 0.23275862068965517, 'neutral': 0.5258620689655172, 'negative': 0.2413793103448276}",1.0203778860926183
r051216a_ECB,euro area,2005-12-16,"{'positive': 0.20772946859903382, 'neutral': 0.7729468599033816, 'negative': 0.01932367149758454}",0.6017787311556345
r060113a_ECB,euro area,2006-01-13,"{'positive': 0.2545454545454545, 'neutral': 0.7212121212121212, 'negative': 0.024242424242424242}",0.6741697339451077
r060118a_ECB,euro area,2006-01-18,"{'positive': 0.03418803418803419, 'neutral': 0.9316239316239316, 'negative': 0.03418803418803419}",0.2968126181145443
r060120a_ECB,euro area,2006-01-20,"{'positive': 0.1895424836601307, 'neutral': 0.6535947712418301, 'negative': 0.1568627450980392}",0.8837589044200984
r060202a_ECB,euro area,2006-02-02,"{'positive': 0.12037037037037036, 'neutral': 0.8703703703703703, 'negative': 0.009259259259259259}",0.4190381606392165
r060206a_ECB,euro area,2006-02-06,"{'positive': 0.3793103448275862, 'neutral': 0.4827586206896552, 'negative': 0.13793103448275862}",0.9925086555080169
r060210a_ECB,euro area,2006-02-10,"{'positive': 0.3964757709251101, 'neutral': 0.4845814977973568, 'negative': 0.11894273127753303}",0.9711028547104488
r060220a_ECB,euro area,2006-02-20,"{'positive': 0.5362318840579711, 'neutral': 0.36231884057971014, 'negative': 0.10144927536231885}",0.9341466577432229
r060223a_ECB,euro area,2006-02-23,"{'positive': 0.2684563758389262, 'neutral': 0.697986577181208, 'negative': 0.03355704697986577}",0.7179126063653872
r060224a_ECB,euro area,2006-02-24,"{'positive': 0.12734082397003746, 'neutral': 0.7490636704119851, 'negative': 0.12359550561797752}",0.7372693300296478
r060224b_ECB,euro area,2006-02-24,"{'positive': 0.2803738317757009, 'neutral': 0.719626168224299, 'negative': 0}",0.5933060406993051
r060227a_ECB,euro area,2006-02-27,"{'positive': 0.19428571428571428, 'neutral': 0.7771428571428571, 'negative': 0.02857142857142857}",0.6158459061565251
r060301a_ECB,euro area,2006-03-01,"{'positive': 0.1323529411764706, 'neutral': 0.8088235294117647, 'negative': 0.058823529411764705}",0.605926472407115
r060309a_ECB,euro area,2006-03-09,"{'positive': 0.09743589743589744, 'neutral': 0.8564102564102564, 'negative': 0.046153846153846156}",0.5015927458776624
r060316a_ECB,euro area,2006-03-16,"{'positive': 0.1509433962264151, 'neutral': 0.8113207547169812, 'negative': 0.03773584905660377}",0.5787177311109565
r060317a_ECB,euro area,2006-03-17,"{'positive': 0.1326530612244898, 'neutral': 0.7806122448979592, 'negative': 0.08673469387755102}",0.6733588489725741
r060324a_ECB,euro area,2006-03-24,"{'positive': 0.15384615384615385, 'neutral': 0.7788461538461539, 'negative': 0.0673076923076923}",0.6642642440674185
r060330a_ECB,euro area,2006-03-30,"{'positive': 0.39072847682119205, 'neutral': 0.5033112582781457, 'negative': 0.10596026490066225}",0.9505787599405195
r060331b_ECB,euro area,2006-03-31,"{'positive': 0.4117647058823529, 'neutral': 0.4369747899159664, 'negative': 0.15126050420168066}",1.0128162694494631
r060331a_ECB,euro area,2006-03-31,"{'positive': 0.22641509433962265, 'neutral': 0.6981132075471698, 'negative': 0.07547169811320754}",0.7822160643111431
r060331c_ECB,euro area,2006-03-31,"{'positive': 0.26976744186046514, 'neutral': 0.6511627906976745, 'negative': 0.07906976744186046}",0.8334275135883575
r060403a_ECB,euro area,2006-04-03,"{'positive': 0.23357664233576642, 'neutral': 0.7299270072992701, 'negative': 0.0364963503649635}",0.6902892685246877
r060404a_ECB,euro area,2006-04-04,"{'positive': 0.2222222222222222, 'neutral': 0.6944444444444444, 'negative': 0.08333333333333333}",0.7945393600908869
r060424a_ECB,euro area,2006-04-24,"{'positive': 0.375, 'neutral': 0.5520833333333334, 'negative': 0.07291666666666667}",0.886707313904611
r060425a_ECB,euro area,2006-04-25,"{'positive': 0.4473684210526316, 'neutral': 0.4342105263157895, 'negative': 0.11842105263157894}",0.9747329644788401
r060425b_ECB,euro area,2006-04-25,"{'positive': 0.27522935779816515, 'neutral': 0.5321100917431193, 'negative': 0.1926605504587156}",1.0080764395342
r060427a_ECB,euro area,2006-04-27,"{'positive': 0.19801980198019803, 'neutral': 0.6006600660066007, 'negative': 0.20132013201320131}",0.9495308368761189
r060504a_ECB,euro area,2006-05-04,"{'positive': 0.13636363636363635, 'neutral': 0.8545454545454545, 'negative': 0.00909090909090909}",0.4487488880659296
r060505a_ECB,euro area,2006-05-05,"{'positive': 0.15584415584415584, 'neutral': 0.7467532467532467, 'negative': 0.09740259740259741}",0.7346068900327356
r060505b_ECB,euro area,2006-05-05,"{'positive': 0.12222222222222222, 'neutral': 0.8222222222222222, 'negative': 0.05555555555555555}",0.578422398551808
r060505c_ECB,euro area,2006-05-05,"{'positive': 0.1956521739130435, 'neutral': 0.6956521739130435, 'negative': 0.10869565217391304}",0.8128640128415356
r060505d_ECB,euro area,2006-05-05,"{'positive': 0.14705882352941177, 'neutral': 0.7745098039215687, 'negative': 0.0784313725490196}",0.6794564829424423
r060508a_ECB,euro area,2006-05-08,"{'positive': 0.11392405063291139, 'neutral': 0.7848101265822784, 'negative': 0.10126582278481013}",0.6695379106662577
r060511a_ECB,euro area,2006-05-11,"{'positive': 0.3790849673202614, 'neutral': 0.6209150326797386, 'negative': 0}",0.6636143964660061
r060522c_ECB,euro area,2006-05-22,"{'positive': 0.2937062937062937, 'neutral': 0.6363636363636364, 'negative': 0.06993006993006994}",0.8335006443097305
r060522b_ECB,euro area,2006-05-22,"{'positive': 0.3793103448275862, 'neutral': 0.5258620689655172, 'negative': 0.09482758620689655}",0.9290686600050064
r060525a_ECB,euro area,2006-05-25,"{'positive': 0.2740740740740741, 'neutral': 0.5925925925925926, 'negative': 0.13333333333333333}",0.9334763696689643
r060601a_ECB,euro area,2006-06-01,"{'positive': 0.29457364341085274, 'neutral': 0.5581395348837209, 'negative': 0.14728682170542637}",0.9676218986025946
r060607a_ECB,euro area,2006-06-07,"{'positive': 0.13846153846153847, 'neutral': 0.8307692307692308, 'negative': 0.03076923076923077}",0.5349033611015344
r060608b_ECB,euro area,2006-06-08,"{'positive': 0.16901408450704225, 'neutral': 0.7089201877934272, 'negative': 0.12206572769953052}",0.8010741040566922
r060608a_ECB,euro area,2006-06-08,"{'positive': 0.08396946564885496, 'neutral': 0.8625954198473282, 'negative': 0.05343511450381679}",0.49204432657013053
r060609a_ECB,euro area,2006-06-09,"{'positive': 0.2708333333333333, 'neutral': 0.6458333333333334, 'negative': 0.08333333333333333}",0.8432192936054103
r060609b_ECB,euro area,2006-06-09,"{'positive': 0.19130434782608696, 'neutral': 0.6695652173913044, 'negative': 0.1391304347826087}",0.8593897717332231
r060614a_ECB,euro area,2006-06-14,"{'positive': 0.216, 'neutral': 0.704, 'negative': 0.08}",0.780161049413185
r060615a_ECB,euro area,2006-06-15,"{'positive': 0.18831168831168832, 'neutral': 0.7727272727272727, 'negative': 0.03896103896103896}",0.6400835662756547
r060621a_ECB,euro area,2006-06-21,"{'positive': 0.45054945054945056, 'neutral': 0.43956043956043955, 'negative': 0.10989010989010989}",0.9631948490511958
r060629b_ECB,euro area,2006-06-29,"{'positive': 0.1728395061728395, 'neutral': 0.8024691358024691, 'negative': 0.024691358024691357}",0.5713840988829335
r060629a_ECB,euro area,2006-06-29,"{'positive': 0.15555555555555556, 'neutral': 0.7666666666666667, 'negative': 0.07777777777777778}",0.6917927539390238
r060629c_ECB,euro area,2006-06-29,"{'positive': 0.268, 'neutral': 0.672, 'negative': 0.06}",0.7888164896403448
r060706a_ECB,euro area,2006-07-06,"{'positive': 0.2517482517482518, 'neutral': 0.6433566433566433, 'negative': 0.1048951048951049}",0.8675160715923212
r060707a_ECB,euro area,2006-07-07,"{'positive': 0.24271844660194175, 'neutral': 0.6359223300970874, 'negative': 0.12135922330097088}",0.8874689103795657
r060714a_ECB,euro area,2006-07-14,"{'positive': 0.16393442622950818, 'neutral': 0.6721311475409836, 'negative': 0.16393442622950818}",0.8599204773740072
r060717b_ECB,euro area,2006-07-17,"{'positive': 0.25663716814159293, 'neutral': 0.6991150442477876, 'negative': 0.04424778761061947}",0.7372537569718719
r060717a_ECB,euro area,2006-07-17,"{'positive': 0.1509433962264151, 'neutral': 0.7641509433962265, 'negative': 0.08490566037735849}",0.70035586505235
r060718a_ECB,euro area,2006-07-18,"{'positive': 0.23853211009174313, 'neutral': 0.6238532110091743, 'negative': 0.13761467889908258}",0.9091663505129332
r060907a_ECB,euro area,2006-09-07,"{'positive': 0.18404907975460122, 'neutral': 0.7791411042944786, 'negative': 0.03680981595092025}",0.6275033404050808
r060915a_ECB,euro area,2006-09-15,"{'positive': 0.125, 'neutral': 0.7236842105263158, 'negative': 0.1513157894736842}",0.7797124431640488
r060917a_ECB,euro area,2006-09-17,"{'positive': 0.5066666666666667, 'neutral': 0.38666666666666666, 'negative': 0.10666666666666667}",0.9506163072343224
r060918a_ECB,euro area,2006-09-18,"{'positive': 0.42857142857142855, 'neutral': 0.48299319727891155, 'negative': 0.08843537414965986}",0.929125779434519
r060918b_ECB,euro area,2006-09-18,"{'positive': 0.2631578947368421, 'neutral': 0.7368421052631579, 'negative': 0}",0.5763341277567499
r060920a_ECB,euro area,2006-09-20,"{'positive': 0.22702702702702704, 'neutral': 0.7243243243243244, 'negative': 0.04864864864864865}",0.7172872934169758
r060928c_ECB,euro area,2006-09-28,"{'positive': 0.2625, 'neutral': 0.7, 'negative': 0.0375}",0.7238953504318245
r060928a_ECB,euro area,2006-09-28,"{'positive': 0.23448275862068965, 'neutral': 0.6758620689655173, 'negative': 0.0896551724137931}",0.8210964155677087
r060928b_ECB,euro area,2006-09-28,"{'positive': 0.08974358974358974, 'neutral': 0.7435897435897436, 'negative': 0.16666666666666666}",0.7352805279449828
r060929a_ECB,euro area,2006-09-29,"{'positive': 0.18, 'neutral': 0.8, 'negative': 0.02}",0.5654190182164774
r061004a_ECB,euro area,2006-10-04,"{'positive': 0.029850746268656716, 'neutral': 0.8507462686567164, 'negative': 0.11940298507462686}",0.49609935131442967
r061010a_ECB,euro area,2006-10-10,"{'positive': 0.4430379746835443, 'neutral': 0.45569620253164556, 'negative': 0.10126582278481013}",0.9507213174038807
r061013a_ECB,euro area,2006-10-13,"{'positive': 0.368, 'neutral': 0.544, 'negative': 0.088}",0.9129467277722554
r061016a_ECB,euro area,2006-10-16,"{'positive': 0.3028571428571429, 'neutral': 0.5942857142857143, 'negative': 0.10285714285714286}",0.9049641649458215
r061020a_ECB,euro area,2006-10-20,"{'positive': 0.25833333333333336, 'neutral': 0.6833333333333333, 'negative': 0.058333333333333334}",0.7756088039645836
r061023a_ECB,euro area,2006-10-23,"{'positive': 0.30864197530864196, 'neutral': 0.6172839506172839, 'negative': 0.07407407407407407}",0.8534170224689739
r061024a_ECB,euro area,2006-10-24,"{'positive': 0.12195121951219512, 'neutral': 0.8292682926829268, 'negative': 0.04878048780487805}",0.5591881213326034
r061026b_ECB,euro area,2006-10-26,"{'positive': 0.4423076923076923, 'neutral': 0.5576923076923077, 'negative': 0}",0.6864755255818468
r061026c_ECB,euro area,2006-10-26,"{'positive': 0.09042553191489362, 'neutral': 0.8085106382978723, 'negative': 0.10106382978723404}",0.6208100127142469
r061027a_ECB,euro area,2006-10-27,"{'positive': 0.24836601307189543, 'neutral': 0.7320261437908496, 'negative': 0.0196078431372549}",0.6513791990351964
r061030a_ECB,euro area,2006-10-30,"{'positive': 0.21782178217821782, 'neutral': 0.5841584158415841, 'negative': 0.19801980198019803}",0.9666820155006632
r061109a_ECB,euro area,2006-11-09,"{'positive': 0, 'neutral': 1.0, 'negative': 0}",-0.0
r061109b_ECB,euro area,2006-11-09,"{'positive': 0.14018691588785046, 'neutral': 0.7757009345794392, 'negative': 0.08411214953271028}",0.6806835572686655
r061110a_ECB,euro area,2006-11-10,"{'positive': 0.0916030534351145, 'neutral': 0.8854961832061069, 'negative': 0.022900763358778626}",0.4131272557828413
r061110b_ECB,euro area,2006-11-10,"{'positive': 0.23809523809523808, 'neutral': 0.7380952380952381, 'negative': 0.023809523809523808}",0.6548254690219399
r061113b_ECB,euro area,2006-11-13,"{'positive': 0.21818181818181817, 'neutral': 0.7454545454545455, 'negative': 0.03636363636363636}",0.671667205351516
r061113c_ECB,euro area,2006-11-13,"{'positive': 0.4056603773584906, 'neutral': 0.5471698113207547, 'negative': 0.04716981132075472}",0.8400005172376708
r061115a_ECB,euro area,2006-11-15,"{'positive': 0.06956521739130435, 'neutral': 0.8695652173913043, 'negative': 0.06086956521739131}",0.47733280683598905
r061117a_ECB,euro area,2006-11-17,"{'positive': 0.2112676056338028, 'neutral': 0.7887323943661971, 'negative': 0}",0.515631317918759
r061120a_ECB,euro area,2006-11-20,"{'positive': 0.19642857142857142, 'neutral': 0.7321428571428571, 'negative': 0.07142857142857142}",0.7364502589469661
r061129a_ECB,euro area,2006-11-29,"{'positive': 0.28, 'neutral': 0.69, 'negative': 0.03}",0.7176610663068821
r061130b_ECB,euro area,2006-11-30,"{'positive': 0.22580645161290322, 'neutral': 0.7338709677419355, 'negative': 0.04032258064516129}",0.6925627677009274
r061130a_ECB,euro area,2006-11-30,"{'positive': 0.14285714285714285, 'neutral': 0.7976190476190477, 'negative': 0.05952380952380952}",0.6262873362382989
r061201c_ECB,euro area,2006-12-01,"{'positive': 0.21505376344086022, 'neutral': 0.6881720430107527, 'negative': 0.0967741935483871}",0.8136942888293335
r061201a_ECB,euro area,2006-12-01,"{'positive': 0.24277456647398843, 'neutral': 0.5953757225433526, 'negative': 0.16184971098265896}",0.947159016229226
r061201b_ECB,euro area,2006-12-01,"{'positive': 0.07751937984496124, 'neutral': 0.8217054263565892, 'negative': 0.10077519379844961}",0.5908609582157841
r061211a_ECB,euro area,2006-12-11,"{'positive': 0.23728813559322035, 'neutral': 0.4576271186440678, 'negative': 0.3050847457627119}",1.0612477890097625
r061218a_ECB,euro area,2006-12-18,"{'positive': 0.136986301369863, 'neutral': 0.7808219178082192, 'negative': 0.0821917808219178}",0.6708658793418412
r061220a_ECB,euro area,2006-12-20,"{'positive': 0.44047619047619047, 'neutral': 0.44047619047619047, 'negative': 0.11904761904761904}",0.975652793300301
r070115b_ECB,euro area,2007-01-15,"{'positive': 0.4461538461538462, 'neutral': 0.47692307692307695, 'negative': 0.07692307692307693}",0.9105046241907481
r070115c_ECB,euro area,2007-01-15,"{'positive': 0.15447154471544716, 'neutral': 0.8048780487804879, 'negative': 0.04065040650406504}",0.5934169136678868
r070115a_ECB,euro area,2007-01-15,"{'positive': 0.45161290322580644, 'neutral': 0.5, 'negative': 0.04838709677419355}",0.8521155706910661
r070118a_ECB,euro area,2007-01-18,"{'positive': 0.14666666666666667, 'neutral': 0.7066666666666667, 'negative': 0.14666666666666667}",0.8084325479386223
r070119a_ECB,euro area,2007-01-19,"{'positive': 0.19594594594594594, 'neutral': 0.7635135135135135, 'negative': 0.04054054054054054}",0.6553409264703951
r070125a_ECB,euro area,2007-01-25,"{'positive': 0.12295081967213115, 'neutral': 0.8278688524590164, 'negative': 0.04918032786885246}",0.5622302083982673
r070125b_ECB,euro area,2007-01-25,"{'positive': 0.4457831325301205, 'neutral': 0.4578313253012048, 'negative': 0.0963855421686747}",0.9433253165812044
r070213a_ECB,euro area,2007-02-13,"{'positive': 0.1989247311827957, 'neutral': 0.7473118279569892, 'negative': 0.053763440860215055}",0.6960601661704973
r070215a_ECB,euro area,2007-02-15,"{'positive': 0.4074074074074074, 'neutral': 0.5037037037037037, 'negative': 0.08888888888888889}",0.9263953048294136
r070216b_ECB,euro area,2007-02-16,"{'positive': 0.3333333333333333, 'neutral': 0.6666666666666666, 'negative': 0}",0.6365141682948128
r070227a_ECB,euro area,2007-02-27,"{'positive': 0.14728682170542637, 'neutral': 0.813953488372093, 'negative': 0.03875968992248062}",0.5756467692231231
r070228a_ECB,euro area,2007-02-28,"{'positive': 0.24299065420560748, 'neutral': 0.6635514018691588, 'negative': 0.09345794392523364}",0.8374397485887064
